_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
306,2024,M4V,CAT,DOMESTIC SH
307,2024,M6K,CAT,DOMESTIC MH
308,2024,M4E,CAT,BURMESE
309,2024,M9W,DOG,SHIH TZU
310,2023,M4R,DOG,YORKSHIRE TERR
311,2023,M6S,DOG,MALTESE
312,2023,M9A,DOG,CHIHUAHUA SH
313,2024,M1T,CAT,DOMESTIC MH
314,2023,M4R,CAT,DOMESTIC SH
315,2023,M1B,DOG,YORKSHIRE TERR
316,2023,M9R,CAT,DOMESTIC SH
317,2023,M5A,DOG,AMER ESKIMO
318,2023,M4J,CAT,DOMESTIC SH
319,2023,M4V,CAT,DOMESTIC SH
320,2025,M9P,DOG,MALTESE
321,2023,M4V,CAT,DOMESTIC MH
322,2023,M3H,DOG,HAVANESE
323,2023,M4A,DOG,PUG
324,2025,M6C,CAT,DOMESTIC SH
325,2023,M5P,DOG,WEST HIGHLAND
326,2023,M4C,CAT,DOMESTIC SH
327,2023,M4C,CAT,DOMESTIC SH
328,2023,M4T,DOG,HAVANESE
329,2024,M1T,CAT,DOMESTIC MH
330,2024,M8V,CAT,DOMESTIC SH
331,2024,M1L,CAT,DOMESTIC SH
332,2023,M4L,CAT,DOMESTIC SH
333,2024,M4J,CAT,DOMESTIC SH
334,2023,M1R,CAT,RAGDOLL
335,2023,M4L,CAT,SIAMESE
336,2024,M4V,CAT,DOMESTIC MH
337,2023,M2J,DOG,YORKSHIRE TERR
338,2023,M4L,DOG,SHIH TZU
339,2024,M4L,CAT,DOMESTIC SH
340,2023,M1V,DOG,DACHSHUND
341,2024,M5M,DOG,LABRADOR RETR
342,2023,M4G,CAT,DOMESTIC SH
343,2023,M1G,CAT,DOMESTIC SH
344,2024,M4T,DOG,OLDENG SHEEPDOG
345,2024,M9P,DOG,SHIH TZU
346,2025,M4A,DOG,BORDER COLLIE
347,2024,M3B,CAT,DOMESTIC LH
348,2023,M3B,CAT,DOMESTIC SH
349,2023,M6G,DOG,PUG
350,2026,M6E,CAT,DOMESTIC LH
351,2024,M4J,CAT,DOMESTIC SH
352,2024,M4E,DOG,BOXER
353,2023,M6P,CAT,DOMESTIC SH
354,2023,M1K,CAT,DOMESTIC MH
355,2023,M1R,CAT,DOMESTIC SH
356,2023,M4B,CAT,DOMESTIC SH
357,2024,M9L,CAT,DOMESTIC SH
358,2024,M8Z,DOG,GERM SHEPHERD
359,2024,M1E,CAT,DOMESTIC SH
360,2023,M6M,CAT,DOMESTIC SH
361,2023,M4P,CAT,DOMESTIC SH
362,2024,M2N,CAT,DOMESTIC SH
363,2023,M5M,CAT,DOMESTIC SH
364,2025,M2H,CAT,DOMESTIC SH
365,2024,M9C,CAT,DOMESTIC MH
366,2023,M1W,DOG,DACHSHUND
367,2023,M4L,CAT,DOMESTIC SH
368,2023,M2N,CAT,DOMESTIC LH
369,2023,M9C,CAT,DOMESTIC SH
370,2023,M6R,CAT,DOMESTIC SH
371,2024,M5A,DOG,PORT WATER DOG
372,2023,M8V,CAT,DOMESTIC SH
373,2024,M9P,CAT,DOMESTIC SH
374,2025,M4P,CAT,DOMESTIC SH
375,2023,M9A,CAT,DOMESTIC SH
